"","days","d","significant","checkpoint","capability","predicted","model"
"62",1.73,0.0265168148400984,FALSE,"batch","IDS preference",0.471514062713047,"CPC"
"63",3.46,0.398301450989733,TRUE,"batch","IDS preference",0.471514062713047,"CPC"
"64",5.19,0.261582450453256,TRUE,"batch","IDS preference",0.471514062713047,"CPC"
"65",6.92,0.506587710867491,TRUE,"batch","IDS preference",0.471514062713047,"CPC"
"66",8.65,0.676190934662202,TRUE,"batch","IDS preference",0.471514062713047,"CPC"
"67",10.38,0.546814758429996,TRUE,"batch","IDS preference",0.471514062713047,"CPC"
"68",12.11,0.649317976800272,TRUE,"batch","IDS preference",0.471514062713047,"CPC"
"69",13.84,0.652450089396314,TRUE,"batch","IDS preference",0.471514062713047,"CPC"
"70",15.57,0.721557487790815,TRUE,"batch","IDS preference",0.471514062713047,"CPC"
"71",17.3,0.515239600686171,TRUE,"epoch","IDS preference",0.471514062713047,"CPC"
"72",34.6,0.470920645817779,TRUE,"epoch","IDS preference",0.471514062713047,"CPC"
"73",51.9,0.688450629931264,TRUE,"epoch","IDS preference",0.471514062713047,"CPC"
"74",69.2,0.501193870625838,TRUE,"epoch","IDS preference",0.471514062713047,"CPC"
"75",86.5,0.569833125192992,TRUE,"epoch","IDS preference",0.471514062713047,"CPC"
"76",103.8,0.590087699969439,TRUE,"epoch","IDS preference",0.471514062713047,"CPC"
"77",121.1,0.495028138488711,TRUE,"epoch","IDS preference",0.471514062713047,"CPC"
"78",138.4,0.599289328060439,TRUE,"epoch","IDS preference",0.471514062713047,"CPC"
"79",155.7,0.571569183783481,TRUE,"epoch","IDS preference",0.471514062713047,"CPC"
"80",166,0.630810870502655,TRUE,"epoch","IDS preference",0.471514062713047,"CPC"
"81",0,1.69640736151295,FALSE,"epoch","Native discrimination",3.17727815109112,"CPC"
"82",1.73,2.52796427805576,FALSE,"batch","Native discrimination",3.16731295925072,"CPC"
"83",3.46,3.85142511848477,TRUE,"batch","Native discrimination",3.15734776741032,"CPC"
"84",5.19,4.04989836504864,TRUE,"batch","Native discrimination",3.14738257556993,"CPC"
"85",6.92,3.49411408864609,TRUE,"batch","Native discrimination",3.13741738372953,"CPC"
"86",8.65,3.44639155051646,TRUE,"batch","Native discrimination",3.12745219188913,"CPC"
"87",10.38,3.43899234519716,TRUE,"batch","Native discrimination",3.11748700004874,"CPC"
"88",12.11,3.37526311969436,TRUE,"batch","Native discrimination",3.10752180820834,"CPC"
"89",13.84,3.18828684769369,TRUE,"batch","Native discrimination",3.09755661636794,"CPC"
"90",15.57,3.03732522408911,TRUE,"batch","Native discrimination",3.08759142452755,"CPC"
"91",17.3,2.92614463476596,TRUE,"epoch","Native discrimination",3.07762623268715,"CPC"
"92",34.6,2.77250152390473,TRUE,"epoch","Native discrimination",2.97797431428319,"CPC"
"93",51.9,2.61887162868159,TRUE,"epoch","Native discrimination",2.87832239587922,"CPC"
"94",69.2,2.5831772738995,TRUE,"epoch","Native discrimination",2.77867047747526,"CPC"
"95",86.5,2.63290313869668,TRUE,"epoch","Native discrimination",2.67901855907129,"CPC"
"96",103.8,2.35645326678813,TRUE,"epoch","Native discrimination",2.57936664066733,"CPC"
"97",121.1,2.51854300438361,TRUE,"epoch","Native discrimination",2.47971472226336,"CPC"
